Total words: 1416378328
Distance: 100

TargetWord,God,Fin,Hyggelig,Glimrende,Positiv,Heldig,Riktig,Dårlig,Ond,Ekkel,Negativ,Uheldig,Galt,Mindreverdig,Completed
litt,128069.000000000000000,25501.000000000000000,10907.000000000000000,3772.000000000000000,7190.000000000000000,6837.000000000000000,22040.000000000000000,38980.000000000000000,509.000000000000000,664.000000000000000,2194.000000000000000,4690.000000000000000,9546.000000000000000,62.000000000000000,OK
mer,232923.000000000000000,22168.000000000000000,14812.000000000000000,7478.000000000000000,24822.000000000000000,6390.000000000000000,56073.000000000000000,88118.000000000000000,2827.000000000000000,556.000000000000000,9625.000000000000000,8751.000000000000000,31994.000000000000000,138.000000000000000,OK
mye,161114.000000000000000,18896.000000000000000,11888.000000000000000,4096.000000000000000,16033.000000000000000,6228.000000000000000,34994.000000000000000,58017.000000000000000,911.000000000000000,737.000000000000000,5490.000000000000000,5698.000000000000000,17097.000000000000000,110.000000000000000,OK
helt,108784.000000000000000,13945.000000000000000,8132.000000000000000,4198.000000000000000,8278.000000000000000,5013.000000000000000,31910.000000000000000,41368.000000000000000,616.000000000000000,451.000000000000000,2876.000000000000000,5436.000000000000000,17021.000000000000000,57.000000000000000,OK
bra,93591.000000000000000,15977.000000000000000,5678.000000000000000,3016.000000000000000,6496.000000000000000,4227.000000000000000,14283.000000000000000,31709.000000000000000,263.000000000000000,176.000000000000000,1432.000000000000000,2806.000000000000000,5661.000000000000000,29.000000000000000,OK
veldig,127210.000000000000000,18136.000000000000000,14007.000000000000000,2665.000000000000000,10392.000000000000000,5153.000000000000000,18921.000000000000000,34377.000000000000000,352.000000000000000,385.000000000000000,2420.000000000000000,5628.000000000000000,9039.000000000000000,42.000000000000000,OK
alt,109498.000000000000000,9092.000000000000000,6157.000000000000000,2610.000000000000000,6292.000000000000000,3685.000000000000000,22465.000000000000000,29910.000000000000000,637.000000000000000,333.000000000000000,2202.000000000000000,3168.000000000000000,15087.000000000000000,53.000000000000000,OK
godt,156414.000000000000000,16799.000000000000000,10628.000000000000000,3771.000000000000000,9897.000000000000000,4203.000000000000000,23891.000000000000000,40283.000000000000000,504.000000000000000,348.000000000000000,2537.000000000000000,4072.000000000000000,9927.000000000000000,51.000000000000000,OK
hele,116175.000000000000000,10886.000000000000000,7514.000000000000000,4540.000000000000000,9809.000000000000000,4066.000000000000000,24102.000000000000000,41448.000000000000000,654.000000000000000,383.000000000000000,3554.000000000000000,4878.000000000000000,14688.000000000000000,50.000000000000000,OK
mest,67603.000000000000000,8671.000000000000000,4785.000000000000000,1985.000000000000000,6163.000000000000000,2408.000000000000000,13752.000000000000000,28246.000000000000000,496.000000000000000,195.000000000000000,2904.000000000000000,2855.000000000000000,11310.000000000000000,44.000000000000000,OK
flere,141100.000000000000000,12473.000000000000000,10149.000000000000000,3410.000000000000000,18560.000000000000000,4730.000000000000000,34948.000000000000000,62077.000000000000000,1229.000000000000000,454.000000000000000,6161.000000000000000,7798.000000000000000,17422.000000000000000,54.000000000000000,OK
store,87978.000000000000000,8676.000000000000000,5819.000000000000000,2735.000000000000000,7785.000000000000000,3420.000000000000000,19831.000000000000000,35878.000000000000000,526.000000000000000,246.000000000000000,3306.000000000000000,4257.000000000000000,8695.000000000000000,55.000000000000000,OK
bedre,88920.000000000000000,8019.000000000000000,4195.000000000000000,3647.000000000000000,8677.000000000000000,2341.000000000000000,16992.000000000000000,37873.000000000000000,348.000000000000000,197.000000000000000,2472.000000000000000,2653.000000000000000,6484.000000000000000,34.000000000000000,OK
like,68449.000000000000000,7473.000000000000000,4641.000000000000000,2637.000000000000000,4490.000000000000000,3403.000000000000000,13172.000000000000000,23208.000000000000000,387.000000000000000,221.000000000000000,1635.000000000000000,2745.000000000000000,7685.000000000000000,54.000000000000000,OK
beste,82650.000000000000000,10255.000000000000000,5787.000000000000000,3303.000000000000000,4303.000000000000000,2995.000000000000000,14091.000000000000000,23522.000000000000000,255.000000000000000,148.000000000000000,1047.000000000000000,2520.000000000000000,5125.000000000000000,27.000000000000000,OK
sett,52379.000000000000000,5184.000000000000000,3809.000000000000000,1352.000000000000000,4834.000000000000000,2006.000000000000000,12257.000000000000000,19199.000000000000000,808.000000000000000,207.000000000000000,2144.000000000000000,2596.000000000000000,5637.000000000000000,65.000000000000000,OK
langt,62493.000000000000000,5932.000000000000000,3897.000000000000000,1974.000000000000000,6349.000000000000000,2569.000000000000000,14907.000000000000000,25544.000000000000000,353.000000000000000,172.000000000000000,2298.000000000000000,2964.000000000000000,6717.000000000000000,28.000000000000000,OK
god,907902.000000000000000,21049.000000000000000,8665.000000000000000,5071.000000000000000,8981.000000000000000,3778.000000000000000,20341.000000000000000,41343.000000000000000,650.000000000000000,236.000000000000000,2277.000000000000000,3724.000000000000000,7248.000000000000000,43.000000000000000,OK
lite,41594.000000000000000,4835.000000000000000,4506.000000000000000,1221.000000000000000,3222.000000000000000,2002.000000000000000,9385.000000000000000,21094.000000000000000,313.000000000000000,197.000000000000000,1423.000000000000000,2269.000000000000000,5471.000000000000000,31.000000000000000,OK
lett,31110.000000000000000,6544.000000000000000,1868.000000000000000,1232.000000000000000,2275.000000000000000,1001.000000000000000,5738.000000000000000,10071.000000000000000,203.000000000000000,117.000000000000000,592.000000000000000,1096.000000000000000,2733.000000000000000,20.000000000000000,OK
rundt,68444.000000000000000,7863.000000000000000,6005.000000000000000,1632.000000000000000,7946.000000000000000,2925.000000000000000,16884.000000000000000,27442.000000000000000,507.000000000000000,292.000000000000000,3135.000000000000000,3227.000000000000000,8683.000000000000000,39.000000000000000,OK
gode,89064.000000000000000,9411.000000000000000,5115.000000000000000,3792.000000000000000,6020.000000000000000,2387.000000000000000,12730.000000000000000,20969.000000000000000,437.000000000000000,169.000000000000000,1534.000000000000000,2199.000000000000000,5303.000000000000000,31.000000000000000,OK
stor,76158.000000000000000,8177.000000000000000,5339.000000000000000,3534.000000000000000,7353.000000000000000,2526.000000000000000,16190.000000000000000,23174.000000000000000,412.000000000000000,163.000000000000000,2755.000000000000000,3295.000000000000000,6941.000000000000000,58.000000000000000,OK
rett,48117.000000000000000,5458.000000000000000,3441.000000000000000,1858.000000000000000,3475.000000000000000,2683.000000000000000,14586.000000000000000,21654.000000000000000,310.000000000000000,202.000000000000000,1359.000000000000000,3114.000000000000000,9102.000000000000000,38.000000000000000,OK
nye,94338.000000000000000,8316.000000000000000,5930.000000000000000,2351.000000000000000,15699.000000000000000,2743.000000000000000,23783.000000000000000,35853.000000000000000,571.000000000000000,243.000000000000000,4106.000000000000000,4422.000000000000000,9086.000000000000000,56.000000000000000,OK
samtidig,42755.000000000000000,3877.000000000000000,2684.000000000000000,1020.000000000000000,5514.000000000000000,1433.000000000000000,11824.000000000000000,15259.000000000000000,425.000000000000000,141.000000000000000,2253.000000000000000,2499.000000000000000,5346.000000000000000,33.000000000000000,OK
