Total words: 129540481
Distance: 100

TargetWord,God,Fin,Hyggelig,Glimrende,Positiv,Heldig,Riktig,Dårlig,Ond,Ekkel,Negativ,Uheldig,Galt,Mindreverdig,Completed
litt,0.97426,1.60893,1.32977,0.45150,0.85555,0.92474,0.63727,0.85383,0.23489,0.97439,0.62207,0.79145,0.48895,0.32239,OK
mer,0.94973,1.01537,0.82321,1.21142,1.09724,0.90234,0.98636,0.85037,0.92127,0.67691,0.97302,0.80558,0.65339,1.24210,OK
mye,1.01713,1.25365,0.87509,0.97849,0.90932,1.10683,0.82956,1.00027,0.53297,0.68477,0.80795,0.70296,0.64641,0.51790,OK
helt,0.79990,1.28692,0.81694,1.03244,0.72749,0.90388,1.17495,0.86655,0.65104,1.22420,0.69481,0.78515,0.96353,0.73021,OK
bra,1.16546,1.65990,0.85375,1.24723,1.07064,1.00544,0.68294,1.31730,0.29595,0.47361,0.66772,0.69426,0.63070,1.35172,OK
veldig,1.32503,1.96652,1.63492,0.67724,1.31000,1.54012,0.69661,1.21690,0.53733,1.17198,0.95845,1.14602,0.63786,0.77852,OK
alt,0.99643,1.07495,0.94501,0.81017,1.03017,1.17415,1.01486,1.08616,0.98591,0.93646,0.96391,0.64665,1.16856,1.15865,OK
godt,1.37789,1.43340,1.29624,1.19863,0.98299,1.15703,0.88351,0.98761,0.89508,0.72530,0.69185,0.79403,0.60361,0.41357,OK
hele,0.75703,1.06161,0.87479,0.81816,0.95672,1.20361,0.74230,0.99640,0.82938,1.33303,0.86581,0.81544,0.87025,-0.01346,OK
mest,0.87537,0.97598,0.66147,1.16739,0.84863,0.97420,1.09495,0.76690,0.46307,0.38129,0.87362,0.95097,0.55042,1.48018,OK
flere,0.82738,0.84050,0.89408,0.62416,0.90582,1.02510,0.81008,0.86039,0.31229,0.40609,0.75689,0.95699,0.67031,-0.17971,OK
store,0.88601,1.08767,0.32114,1.01748,0.76197,0.80503,0.79521,0.83015,0.50580,0.01229,0.67283,0.91667,0.48432,0.64531,OK
bedre,1.19190,1.15483,0.62260,1.68045,1.06749,0.81414,0.85932,1.26485,0.81466,0.54715,0.66526,0.57934,0.65801,1.02817,OK
like,1.05524,1.32537,0.85779,0.91618,0.84540,1.00763,0.83055,0.81596,1.00419,0.78853,0.77436,0.83970,0.87465,1.42854,OK
beste,1.29554,1.19695,0.51960,1.91366,0.96137,1.05842,0.72721,0.96901,0.52265,0.33812,0.44448,0.85332,0.42055,0.50475,OK
sett,0.97735,1.21454,0.85685,1.22995,0.92120,0.98845,0.80370,0.80690,0.66528,1.08561,0.53701,0.75783,0.67192,0.91882,OK
langt,0.98588,1.05483,0.61626,1.31751,1.06340,0.95625,0.89874,0.91905,0.30756,0.70147,0.63424,0.87129,0.61067,0.29326,OK
god,4.71647,1.76049,1.34407,1.40010,0.99495,1.03852,0.95458,1.23559,1.80932,0.11298,0.55976,0.55603,0.33780,-0.03597,OK
lite,0.93576,1.06782,1.13299,0.72746,0.91692,1.14221,0.77328,1.15088,0.75566,0.78244,1.04829,0.88617,0.67109,0.76831,OK
lett,1.12980,1.48892,0.98889,0.93764,0.83814,1.02913,0.92514,0.91632,0.92769,0.52940,0.81483,1.00721,0.63590,1.26131,OK
rundt,0.85810,1.18857,0.82078,0.46259,0.92232,1.02727,0.76337,0.81388,0.54652,1.34888,0.74412,0.67185,0.66281,0.85338,OK
gode,1.88110,1.24104,1.17132,1.80564,1.29616,1.26383,0.77543,1.02251,1.45209,0.25046,0.50369,0.74355,0.51368,0.70814,OK
stor,0.98034,1.35961,0.68495,1.01930,0.97205,1.03019,0.88481,0.74354,0.20645,0.55861,0.77182,1.12428,0.55958,0.79342,OK
rett,0.75532,0.97121,0.91417,0.69629,0.67521,0.91376,1.14853,1.02207,1.13089,1.31021,0.69339,1.09149,1.51400,1.17728,OK
nye,0.90849,1.06281,1.05193,1.63115,1.00095,0.59112,0.85147,0.83295,-0.17004,-0.05936,0.26606,0.25594,0.25236,-0.33797,OK
samtidig,1.19261,1.10731,1.11497,0.54587,1.27487,0.97086,1.13050,1.03473,0.51962,0.85842,1.06854,1.27608,0.91929,1.03620,OK
gamle,0.74402,0.91231,0.59676,1.26284,0.46161,0.52276,0.66598,0.63085,0.28098,0.88722,0.01450,0.58935,0.39707,0.00000,OK
mindre,0.95028,0.93774,0.52196,1.09854,0.81661,1.01991,0.92943,0.82364,0.74816,0.45700,0.93582,0.75419,0.58628,1.47163,OK
siste,0.88684,0.92039,0.65718,1.34406,1.16712,0.68941,0.71265,1.04849,0.35481,0.66573,0.94290,0.70582,0.45641,0.37496,OK
tatt,0.71012,1.04191,0.80469,0.31622,0.98778,1.05634,0.78553,0.89480,0.43605,0.95564,1.02681,0.86647,0.84367,0.75355,OK
liten,0.89220,1.61360,1.08257,0.92766,0.98303,0.88604,0.65426,0.87712,-0.12835,1.06188,0.90270,0.85903,0.66620,0.87367,OK
utrolig,1.14929,1.80580,1.61035,0.52689,0.98613,1.80471,0.44065,1.48026,0.32007,1.63292,0.79569,0.77579,0.77074,0.87461,OK
faktisk,0.94383,1.00592,0.88906,1.27952,0.94392,1.11809,0.99179,0.92909,0.74631,0.81818,0.99936,1.03346,0.92359,1.23735,OK
laget,1.04561,1.31128,0.26265,2.12298,0.50868,0.18999,0.68001,0.94206,-0.42685,-0.53703,0.13854,0.61875,0.05084,0.16013,OK
meget,2.03280,1.70280,1.54995,1.93259,1.50920,1.06141,0.81644,1.05067,0.69989,0.11165,0.75746,1.60533,0.26104,1.58641,OK
side,0.88178,1.03529,0.80227,1.28662,1.57077,0.48078,1.19055,0.90505,1.07980,0.28512,1.17039,1.13027,0.81689,0.17491,OK
unge,0.60646,0.73513,0.61259,-1.23469,0.82660,1.02525,0.56735,0.72188,0.06100,0.78089,0.88175,1.09184,1.06535,1.74107,OK
fint,0.97813,2.27675,1.36506,1.16905,0.68801,1.17466,0.51964,0.66857,0.08140,0.44766,0.38115,0.47567,0.48406,-0.70320,OK
tidligere,0.94424,0.78400,0.88671,0.77773,1.07845,0.77250,0.95277,0.87390,0.67131,0.75378,0.84437,0.99959,0.76532,-0.45598,OK
livet,0.93610,1.01537,0.72891,0.38516,1.64304,1.67536,0.85397,0.95005,1.60683,0.68761,0.99139,1.18291,1.09237,1.62394,OK
virkelig,1.02506,1.14562,1.00464,0.70589,0.82173,1.11447,0.85466,0.95519,0.97509,1.23288,0.65128,0.74772,1.10367,0.22221,OK
egentlig,0.85273,1.08342,0.98470,1.16180,0.92780,0.86756,0.75339,0.91195,0.47208,1.10208,0.77469,0.61552,0.76409,0.50284,OK
gjort,0.86029,0.94278,0.87762,1.03827,0.82390,0.81238,1.22986,1.58196,1.59174,1.25274,0.94073,0.95973,2.15283,0.39735,OK
spesielt,1.19844,1.33756,1.18427,1.15818,0.91347,0.89960,0.68001,1.04923,0.02090,1.05114,0.91351,1.07914,0.77672,0.54897,OK
ny,0.87716,1.23964,0.77502,0.61386,0.80116,0.71892,0.75488,0.76144,-0.05394,0.28889,0.94015,0.49857,0.26182,-0.11083,OK
