TargetWord,God,Fin,Hyggelig,Glimrende,Positiv,Heldig,Riktig,Dårlig,Ond,Ekkel,Negativ,Uheldig,Galt,Mindreverdig,Completed
sier,0.52627,0.36517,0.85502,-0.28252,0.83742,0.48103,0.71228,0.53536,0.20157,0.55383,0.71265,0.94639,0.64679,0.31297,OK
option,-2.79937,-2.94870,-5.40984,-4.11831,-4.74804,-6.08178,-3.91144,-3.36227,-2.57183,-3.41547,-7.01249,-5.07101,-3.29547,0.00000,OK
tv,0.27706,-0.05345,0.88843,0.10119,-0.00703,-0.06556,0.17434,0.09397,0.95975,0.75621,0.06386,0.10725,0.21826,-0.73763,OK
år,0.09705,0.14100,0.33073,-0.34922,0.31207,0.16181,0.16064,0.01155,-0.00979,-0.08404,0.39240,-0.21753,0.12997,-0.17163,OK
mer,0.33097,0.20647,0.23636,0.41143,0.42317,-0.15475,0.35019,0.22065,1.13307,-0.28731,0.57326,-0.08204,0.49428,0.20845,OK
kl,-0.50548,-0.73163,-0.68277,-0.56124,-0.57424,-0.50416,-0.66377,-0.56384,-0.41572,-0.80653,-0.74919,-0.60995,-0.52704,-2.46646,OK
web,-1.21908,-3.39510,-2.52047,-2.94412,-2.66334,-2.96153,-2.82448,-2.99317,0.00000,0.00000,-4.14642,-4.07941,-2.71046,0.00000,OK
publisert,-0.30825,-0.83241,-0.45249,-1.08707,-0.60312,-0.78191,-0.63592,-0.38690,-0.68100,-0.71989,-0.59223,-0.59391,-0.14972,-1.66905,OK
flere,0.04782,-0.18095,0.13417,-0.27831,0.44580,-0.14624,0.11113,0.15715,0.37316,-0.13782,0.37152,0.19351,0.06080,-0.70332,OK
oppdatert,-0.59529,-0.80821,-0.79865,-0.90826,-0.44844,-0.99226,-0.58133,-0.45055,-0.47137,-0.85682,-0.16573,-0.57505,-0.20040,-1.56949,OK
ntb,-0.62267,-0.79766,-0.73337,-1.20163,-0.03864,-0.68050,-0.44412,-0.31532,-1.52217,-1.30003,-0.36102,0.02639,-0.54562,-3.33818,OK
siste,0.10419,-0.09125,-0.19264,0.03912,0.30434,0.06880,-0.05912,0.13340,-0.43688,-0.20869,0.28954,-0.11247,-0.03240,-0.56706,OK
foto,-0.24538,-0.16337,0.02142,-0.30377,-0.46584,0.01536,-0.46346,-0.24251,-0.54338,-0.13658,-0.79618,-0.29609,-0.41501,-2.25612,OK
norge,0.15968,-0.25885,0.05417,-0.14796,0.43112,0.12339,0.21981,0.11921,-0.59006,-0.52358,0.36257,0.18036,-0.07488,0.74402,OK
les,-0.00396,-0.38230,-0.42964,-0.44542,-0.68306,-1.39664,-0.37918,-0.09855,0.98471,-1.94028,-0.51630,-0.68168,0.61308,-1.69191,OK
noe,0.49093,0.78260,0.99510,0.27509,0.58448,0.90947,0.78985,0.57277,0.79114,0.69889,0.71103,0.68347,1.99636,1.60295,OK
går,0.31743,0.31863,0.58850,0.54204,0.34363,0.32604,0.45168,0.53334,0.21545,0.40261,0.44420,0.39824,0.82793,-0.02264,OK
får,0.55254,0.52746,0.65610,0.26684,0.90508,0.92373,0.55499,0.50733,0.68602,0.56173,0.43677,0.59582,0.34141,0.68404,OK
se,0.12819,-0.00488,0.17797,-0.14872,-0.20585,-0.13676,0.11654,0.04394,0.07408,0.14631,-0.39590,-0.27000,0.03911,-0.46854,OK
dag,0.35986,0.29686,0.20747,-0.20978,0.26558,0.40653,0.17183,0.58698,-0.07415,-0.13577,0.30126,0.13737,0.10480,0.09390,OK
fikk,0.42411,0.66469,0.60608,0.98031,0.00690,1.19732,0.12961,0.53220,-0.54340,0.95957,-0.05800,0.72498,0.68971,-0.48652,OK
kroner,0.19276,0.97155,0.30986,-1.16895,0.81334,-0.30706,0.07755,-0.17963,-1.10072,-1.30289,1.38431,-0.34581,-0.42285,-0.78720,OK
mener,0.47613,-0.32527,0.08319,-0.36622,0.96241,0.03931,1.11924,0.87172,0.50002,-0.01773,1.22792,1.45135,1.01621,0.66716,OK
oslo,-0.00551,-0.61258,0.09839,-1.32307,0.13307,-0.58454,-0.30101,-0.23367,-1.08492,-0.88801,0.27953,-0.06497,-0.45185,-0.57217,OK
nye,0.10542,-0.12256,0.00394,-0.20165,0.79651,-0.24983,0.21110,-0.08812,-0.09787,-0.40086,0.40408,0.04405,-0.23908,-0.02886,OK
første,0.49902,0.56078,0.45928,0.99614,0.37450,0.85010,0.11814,0.26250,-0.26885,0.08763,0.38580,0.32299,0.01273,-0.38508,OK
hele,0.41461,0.27069,0.34746,0.78149,0.17369,0.28308,0.22248,0.22254,0.11118,0.26498,0.22594,0.16543,0.46189,-0.16620,OK
mye,0.91626,1.09698,1.03989,0.66422,0.91340,0.92908,0.79111,0.73856,0.62019,1.24015,0.88415,0.42011,0.71130,1.00216,OK
kommer,0.47005,0.52404,0.67578,0.34358,0.44474,0.36765,0.46689,0.39735,0.60538,0.53273,0.53246,0.35677,0.24142,0.22191,OK
saken,-0.40206,-1.26760,-0.73453,-1.21561,-0.00114,-0.75745,0.30821,-0.05474,-1.24015,-0.12014,-0.16529,1.12773,0.76509,-1.60265,OK
prosent,-0.00838,-1.08774,0.01789,-1.89873,1.45822,-1.13343,0.23438,0.38596,-0.30234,-2.23074,2.29383,-0.56213,-0.39092,-0.70254,OK
vg,-0.21854,-0.40664,0.51234,-0.33615,-0.43035,-0.19522,-0.02013,-0.13465,-0.65859,-0.39180,-0.48882,0.15185,0.04968,-0.94914,OK
politiet,-1.08556,-2.16183,-1.11063,-3.40757,-1.58153,-1.25635,-0.49762,-0.62183,-0.73506,-0.06789,-1.21166,-0.03882,0.22138,-3.31661,OK
sa,0.35816,0.42943,0.71692,0.28505,0.38535,0.67690,0.53396,0.43425,0.24656,0.36438,0.29197,0.55834,0.64184,-1.36131,OK
norske,0.15932,-0.16997,0.31882,-0.06324,0.55192,-0.02300,0.26358,0.31447,0.11030,-0.49646,0.68528,0.49422,0.00356,0.78733,OK
tips,-0.29402,-1.25664,-1.00744,-1.38856,-1.25147,-1.41039,-1.23887,-1.26690,-0.18206,-0.19909,-1.34410,-1.37317,-1.08046,-3.18477,OK
helt,0.63186,0.94071,0.77383,0.98123,0.24177,0.89787,0.93964,0.53248,0.33754,0.81349,0.23329,0.63382,0.98667,0.33557,OK
ny,-0.12646,0.02910,-0.27949,-0.18839,0.18332,-0.40918,-0.06365,-0.02906,-0.45334,-0.17967,-0.00468,-0.08606,-0.27316,-0.62288,OK
tidligere,0.09329,-0.07569,0.28299,-0.06132,0.45933,0.01297,0.24734,0.05985,-0.05392,-0.38935,0.43011,0.33447,0.18591,-0.52890,OK
millioner,-0.22400,-1.42966,-0.18618,-1.34469,0.94750,-0.67438,-0.10849,-0.31058,-0.94496,-2.35869,1.44464,-0.63589,-0.58903,-0.65988,OK
ifølge,-0.46970,-1.12226,-0.46203,-1.41965,0.20554,-0.65870,-0.10837,0.04975,-0.07144,-0.23155,0.68834,-0.01409,0.05782,-0.59532,OK
blant,0.20549,-0.10555,0.41599,-0.19392,0.58660,-0.09029,0.25579,0.25178,0.10661,-0.21127,0.73812,0.24545,-0.00018,0.26743,OK
gang,0.30455,0.46210,0.58594,0.46420,0.15454,0.56685,0.41341,0.19490,0.28370,0.60395,0.11835,0.26855,0.37737,0.15592,OK
ta,0.48989,0.34728,0.50831,0.82000,0.41115,0.92483,0.70192,0.47905,0.40872,0.41012,0.38152,0.65851,0.60752,0.43888,OK
store,0.41614,0.34502,0.38036,0.45244,0.24257,0.43556,0.34276,0.41644,0.19905,0.02840,0.52368,0.37049,0.10682,0.37341,OK
alt,0.75391,0.43546,0.48469,0.40782,-0.04125,0.56610,0.54556,0.17684,0.49815,0.48813,-0.03973,-0.03292,0.92473,0.34284,OK
igjen,0.44910,0.66093,0.51256,0.75086,0.17588,0.81475,0.25247,0.36785,0.64716,0.81867,0.27537,0.60453,0.49884,-0.01459,OK
rundt,0.12432,0.27417,0.49685,-0.22137,0.34301,0.28110,0.18176,0.10082,0.21707,0.34681,0.51816,0.04194,0.17593,-0.05146,OK
nett,-0.27172,-0.52730,0.20435,-0.38817,-0.57098,-0.26070,-0.28610,-0.29306,-0.61871,-0.30456,-0.76442,0.12928,-0.28952,-1.54434,OK
nok,1.14683,0.93046,0.84377,0.86730,0.38249,0.86771,0.98539,0.73904,0.49184,0.64591,0.48889,0.62280,0.71398,0.47652,OK
godt,1.41253,1.46641,1.41774,1.08379,0.75662,0.90093,0.77948,0.75145,0.30535,0.69677,0.30966,0.47433,0.46593,0.43242,OK
fått,0.43845,0.41569,0.66436,-0.04972,0.59892,0.71065,0.49574,0.44952,-0.15243,0.76149,0.55138,0.58433,0.39385,-0.03069,OK
sammen,0.29054,0.56581,0.94948,0.20783,0.17136,0.35423,0.18998,0.06755,0.42883,0.31640,-0.04796,-0.09075,0.28551,0.15221,OK
tror,0.67886,0.52762,0.67627,-0.25358,1.16899,0.30980,0.64805,0.49645,0.44742,0.45623,1.14854,0.52604,0.50614,-0.02756,OK
