Total words: 1416378328
Distance: 10

TargetWord,God,Fin,Hyggelig,Glimrende,Positiv,Heldig,Riktig,Dårlig,Ond,Ekkel,Negativ,Uheldig,Galt,Mindreverdig,Completed
sier,0.57771,0.61538,1.12445,-0.30226,0.79192,0.62682,0.85135,0.40068,0.43880,0.95183,0.47285,0.94007,0.79550,0.51673,OK
option,-13.52834,-3.68396,0.00000,0.00000,0.00000,0.00000,0.00000,-6.41306,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,OK
tv,0.05187,-0.36907,0.83539,-0.46024,-0.44280,-0.35254,-0.29945,-0.23844,-1.40634,-0.22038,-0.33370,-0.19366,-0.64502,0.00000,OK
år,-0.52524,-0.56787,-0.61957,-0.86406,-0.29847,-0.34938,-0.59553,-0.51524,-0.60009,-1.51567,0.06734,-1.04625,-0.84519,-2.21092,OK
mer,-0.04597,-0.36287,0.11868,-0.26974,0.85214,-0.88334,0.20360,-0.40814,1.36417,-1.38283,0.49002,-0.36855,-0.14851,0.49178,OK
kl,-1.65535,-2.15693,-2.02508,-1.74594,-2.00426,-1.88873,-1.35815,-1.34554,-2.03563,-1.58664,-2.17356,-2.02889,-1.70786,0.00000,OK
web,-3.05494,0.00000,-3.08096,-1.89639,0.00000,0.00000,0.00000,-4.66673,0.00000,0.00000,0.00000,0.00000,-2.92101,0.00000,OK
publisert,-1.53202,-2.11293,-0.95556,-2.96880,-1.76196,-2.14818,-2.06515,-0.88554,-2.06163,-1.34444,-2.06000,-1.71449,-0.67442,-3.52512,OK
flere,-0.56016,-1.16951,-0.57267,-0.17625,-0.16808,-0.73233,-0.40246,-0.20345,-0.19027,-1.61902,0.28757,-0.52531,-0.69626,-3.31427,OK
oppdatert,-1.67990,-1.92556,-2.07685,-2.49373,-1.81976,-2.27908,-1.38433,-1.03106,-2.13039,-2.00333,-1.67776,-2.15673,-1.61700,-2.28354,OK
ntb,-0.99272,-1.11499,-1.29050,-1.90879,-0.30789,-1.27029,-0.90455,-0.51226,-2.02200,-1.49900,-0.85625,-0.50656,-1.08847,0.00000,OK
siste,-0.59787,-0.63038,-1.15587,-0.26115,-0.22646,-0.58796,-0.93420,-0.40460,-1.78377,-1.52980,0.36740,-0.30038,-0.76271,-1.56608,OK
